order_id,order_datetime,address_raw,city,pincode,customer_id,past_failures,distance_km,time_slot,delivery_status,failure_reason
ORD00001,2026-03-09 09:55:00,near metro 7th crs hsr layout blru,Bengaluru,560102,C1150,0,2.9,morning,delivered,
ORD00002,2026-03-23 20:55:00,opp school 12th cross whitefield bengaluru,Bengaluru,,C0210,0,12.2,night,delivered,
ORD00003,2026-03-12 16:05:00,beside park 2th cross hsr layout bengaluru,Bengaluru,560102,C1183,1,16.3,afternoon,delivered,
ORD00004,2026-03-02 20:05:00,beside park 5th cross whitefield bengaluru,Bengaluru,560066,C0547,2,19.7,night,failed,wrong_address
ORD00005,2026-03-18 20:15:00,near metro 4th cross bellandur bengaluru,Bengaluru,560103,C0066,0,8.2,night,delivered,
ORD00006,2026-03-03 16:25:00,beside park 11th cross electronic city bengaluru,Bengaluru,560100,C0539,3,17.7,afternoon,delivered,
ORD00007,2026-03-13 16:45:00,near temple 3th cross bellandur bengaluru,Bengaluru,560103,C0782,4,3.6,afternoon,failed,pincode_mismatch
ORD00008,2026-03-18 18:25:00,behind mall 11th cross jp nagar bengaluru,Bengaluru,560078,C0540,0,14.7,evening,failed,pincode_mismatch
ORD00009,2026-03-28 18:05:00,opp school 9th cross indiranagar bengaluru,Bengaluru,560038,C1001,2,10.6,evening,delivered,
ORD00010,2026-03-27 09:25:00,close to lake 8th cross btm layout bengaluru,Bengaluru,,C0974,0,5.6,morning,failed,pincode_mismatch
ORD00011,2026-03-28 13:45:00,close to lake 5th cross indiranagar bengaluru,Bengaluru,560038,C0925,4,18.6,afternoon,delivered,
ORD00012,2026-03-03 11:15:00,close to lake 1th cross hsr layout bengaluru,Bengaluru,,C0488,1,5.4,morning,failed,rescheduled
ORD00013,2026-03-05 11:45:00,beside park 4th crs jp nagar blru,Bengaluru,560078,C0111,3,11.9,morning,delivered,
ORD00014,2026-03-24 09:35:00,beside park 3th cross hsr layout bengaluru,Bengaluru,560102,C1128,3,5.7,morning,delivered,
ORD00015,2026-03-18 09:55:00,beside park 8th cross hsr layout bengaluru ???,Bengaluru,560102,C0800,4,18.6,morning,failed,rescheduled
ORD00016,2026-03-23 13:35:00,behind mall 4th cross jp nagar bengaluru,Bengaluru,560078,C0118,4,11.6,afternoon,delivered,
ORD00017,2026-03-17 18:35:00,near temple 10th crs btm layout blru,Bengaluru,560076,C1167,1,2.1,evening,delivered,
ORD00018,2026-03-02 18:45:00,opp school 11th cross whitefield bengaluru,Bengaluru,560066,C0615,0,12.1,evening,delivered,
ORD00019,2026-03-01 13:05:00,behind mall 3th cross jp nagar bengaluru,Bengaluru,560000,C0324,4,19.9,afternoon,failed,out_of_zone
ORD00020,2026-03-20 20:25:00,close to lake 2th cross kengeri bengaluru,Bengaluru,560060,C1134,2,11.0,night,failed,customer_unavailable
ORD00021,2026-03-07 13:45:00,near temple 2th cross jayanagar bengaluru ???,Bengaluru,560011,C0268,0,13.1,afternoon,delivered,
ORD00022,2026-03-15 11:55:00,opp school 9th crs jayanagar blru,Bengaluru,560000,C0086,1,1.2,morning,delivered,
ORD00023,2026-03-12 13:05:00,beside park 10th cross jayanagar bengaluru,Bengaluru,560011,C0363,0,3.0,afternoon,delivered,
ORD00024,2026-03-24 09:15:00,opp school 5th crs marathahalli blru,Bengaluru,560037,C0964,2,8.8,morning,failed,customer_unavailable
ORD00025,2026-03-10 16:25:00,behind mall 2th cross whitefield bengaluru,Bengaluru,560066,C1099,3,5.2,afternoon,delivered,
ORD00026,2026-03-09 09:05:00,close to lake 6th cross electronic city bengaluru,Bengaluru,560100,C0390,4,6.0,morning,delivered,
ORD00027,2026-03-14 09:55:00,behind mall 11th cross jayanagar bengaluru,Bengaluru,560011,C0837,0,2.3,afternoon,delivered,
